GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ComController,com.controller.sweng894,ComDrive,23,91,4,14,9,24,9,7,5,2
ComController,com.controller.sweng894,ComEvent,0,722,2,64,0,149,2,34,0,3
ComController,com.controller.sweng894,Compsite,4,93,0,8,2,21,2,10,2,6
ComController,com.controller.sweng894,Highshutdown,14,58,3,5,6,17,8,3,5,2
ComController,com.controller.sweng894,ComLeafEvent,3,0,0,0,2,0,1,0,1,0
ComController,com.controller.sweng894,LowAlarm,8,68,4,6,3,20,6,6,2,5
ComController,com.controller.sweng894,ComAlmStatusAuxCooling,3,0,0,0,2,0,1,0,1,0
ComController,com.controller.sweng894,ComAlmStatusDischarge,3,0,0,0,2,0,1,0,1,0
ComController,com.controller.sweng894,ComAlmStatusVIB,3,0,0,0,2,0,1,0,1,0
ComController,com.controller.sweng894,ComPanel,35,0,0,0,9,0,2,0,2,0
ComController,com.controller.sweng894,ComSimulation,0,260,4,32,0,50,4,16,0,2
ComController,com.controller.sweng894,ComAlmStatus,0,41,1,5,0,15,1,4,0,2
ComController,com.controller.sweng894,ComFrame,1581,0,26,0,307,0,15,0,2,0
ComController,com.controller.sweng894,ComAlmStatusAuxOil,3,0,0,0,2,0,1,0,1,0
ComController,com.controller.sweng894,AuxVibPermissive,10,49,1,7,5,14,6,5,5,2
ComController,com.controller.sweng894,ComController,2400,0,254,0,592,0,129,0,2,0
ComController,com.controller.sweng894,ComAlmStatusSuction,3,0,0,0,2,0,1,0,1,0
ComController,com.controller.sweng894,HighAlarm,10,62,3,5,4,19,6,5,3,4
ComController,com.controller.sweng894,ComAuxStatus,0,166,3,17,0,37,3,10,0,3
ComController,com.controller.sweng894,Lowshutdown,12,60,3,5,5,18,7,4,4,3
ComController,com.controller.sweng894,ComCompositeEvent,0,3,0,0,0,2,0,1,0,1
ComController,com.controller.sweng894,ComAutoLoad,83,384,57,77,20,107,43,29,0,5
